id,geo_lat,geo_lon,lat,long,crash_count
225,39.77293206867928,-105.0112365963939,39.77293206867928,-105.0112365963939,2
226,39.771730593686755,-105.01123052815281,39.771730593686755,-105.01123052815281,5
227,39.770514330882406,-105.01123254681993,39.770514330882406,-105.01123254681993,7
228,39.76928974271347,-105.01121602437891,39.76928974271347,-105.01121602437891,63
229,39.76805772488123,-105.01121439958453,39.76805772488123,-105.01121439958453,5
230,39.76685934630196,-105.01121901561038,39.76685934630196,-105.01121901561038,3
231,39.76565346403115,-105.01121000408335,39.76565346403115,-105.01121000408335,16
232,39.76443276809249,-105.01120519579965,39.76443276809249,-105.01120519579965,5
233,39.7632290559434,-105.01119641156674,39.7632290559434,-105.01119641156674,4
234,39.76203077802503,-105.01119179065083,39.76203077802503,-105.01119179065083,15
235,39.760799380671884,-105.01115500026319,39.760799380671884,-105.01115500026319,9
